Title,Artist,Period,Complexity,Relevance
"Study for ""The Destruction of Sodom""",Camille Corot,Realism,4,1
View of Lormes,Camille Corot,Romanticism,3,2
A Village Street: Dardagny,Camille Corot,Realism,2,1
Ville-d'Avray,Camille Corot,Realism,6,9
The Banks of the Seine at Conflans,Camille Corot,Realism,5,3
A Woman Gathering Faggots at Ville-d'Avray,Camille Corot,Impressionism,6,2
A Woman Reading,Camille Corot,Realism,4,10
"Saints Peter, Martha, Mary Magdalen, and Leonard",Correggio (Antonio Allegri),Renaissance,10,1
The Storm,Pierre-Auguste Cot,Impressionism,10,9
"Madame Frederic Breyer (Fanny Helene Van Bruyssel, 1830-1894)",Gustave Courbet,Realism,7,1
"Jo, La Belle Irlandaise",Gustave Courbet,Realism,6,1
Woman with a Parrot,Gustave Courbet,Realism,10,1
The Young Bather,Gustave Courbet,Realism,9,1
The Woman in the Waves,Gustave Courbet,Realism,6,1
The Calm Sea,Gustave Courbet,Realism,6,1
Marine: The Waterspout,Gustave Courbet,Realism,8,1
After the Hunt,Gustave Courbet,Realism,10,9
Alphonse Promayet (1822-1872),Gustave Courbet,Realism,8,1
"A Brook in a Clearing (possibly ""Brook, Valley of Fontcouverte; Study"")",Gustave Courbet,Realism,6,1
A Brook in the Forest,Gustave Courbet,Realism,5,1
The Deer,Gustave Courbet,Realism,8,10
The Fishing Boat,Gustave Courbet,Realism,7,7
The Hidden Brook,Gustave Courbet,Impressionism,6,9
Hunting Dogs with Dead Hare,Gustave Courbet,Realism,9,1
Louis Gueymard (1822-1880) as Robert le Diable,Gustave Courbet,Realism,9,4
"Madame Auguste Cuoq (Mathilde Desportes, 1827-1910)",Gustave Courbet,Realism,10,1
Monsieur Suisse,Gustave Courbet,Realism,5,8
Nude with Flowering Branch,Gustave Courbet,Realism,6,1
River and Rocks,Gustave Courbet,Impressionism,5,1
The Sea,Gustave Courbet,Realism,5,9
The Source,Gustave Courbet,Realism,8,8
The Source of the Loue,Gustave Courbet,Realism,9,1
Woman in a Riding Habit (L'Amazone),Gustave Courbet,Realism,9,2
View of Ornans,Gustave Courbet,Realism,8,2
Spring Flowers,Gustave Courbet,Realism,7,9
The Legend of Cloelia,Guidoccio di Giovanni Cozzarelli,Renaissance,7,2
Lukas Spielhausen,Lucas Cranach the Elder,Renaissance,4,2
Christ and the Adulteress,Lucas Cranach the Younger and Workshop,Renaissance,1,6
Christ Blessing the Children,Lucas Cranach the Younger and Workshop,Renaissance,2,5
"Johann (1498-1537), Duke of Saxony",Lucas Cranach the Elder,Renaissance,5,4
The Judgment of Paris,Lucas Cranach the Elder,Renaissance,8,9
Judith with the Head of Holofernes,Lucas Cranach the Elder,Renaissance,7,9
The Martyrdom of Saint Barbara,Lucas Cranach the Elder,Renaissance,10,2
Portrait of a Man with a Rosary,Lucas Cranach the Elder,Renaissance,4,2
Samson and Delilah,Lucas Cranach the Elder,Renaissance,4,9
Venus and Cupid,Lucas Cranach the Elder,Renaissance,1,8
"Friedrich III (1463-1525), the Wise, Elector of Saxony",Lucas Cranach the Elder and Workshop,Renaissance,1,2
"Johann I (1468-1532), the Constant, Elector of Saxony",Lucas Cranach the Elder and Workshop,Renaissance,1,2
Martin Luther (1483-1546),Lucas Cranach the Elder,Renaissance,2,1
Philip IV (1605-1665) in Parade Armor,Gaspar de Crayer,Baroque,10,2
Madonna and Child Enthroned,Carlo Crivelli,Renaissance,6,2
Pieta,Carlo Crivelli,Renaissance,6,9
Saint Dominic,Carlo Crivelli,Renaissance,5,9
Madonna and Child Enthroned with Two Angels and a Donor,Vittore Crivelli,Renaissance,8,3
Madonna and Child with Two Angels,Vittore Crivelli,Renaissance,4,2
"Hautbois Common, Norfolk",John Crome,Romanticism,7,1
Princess Maria Francisca de Asis de Borbon and Her Son Infante Carlos Luis Maria Fernando de Borbon,Luis de la Cruz y Rios,Romanticism,1,1
Bacchus and Nymphs in a Landscape,Abraham van Cuylenborch,Baroque,6,6
Landscape with the Flight into Egypt,Aelbert Cuyp,Baroque,5,3
Piping Shepherds,Aelbert Cuyp,Baroque,9,6
Equestrian Portrait of Cornelis (1639-1680) and Michiel Pompe van Meerdervoort (1638-1653) with Their Tutor and Coachman,Aelbert Cuyp,Baroque,9,1
Young Herdsmen with Cows,Aelbert Cuyp,Baroque,9,1
Children and a Cow,Aelbert Cuyp,Baroque,4,10
"Joseph II (1741-1790), Emperor of Austria",Adam Ludwig d'Argent,Neoclassicism,1,4
Christ Enthroned with Saints,Bernardo Daddi,Gothic,2,1
Saint Reparata before the Emperor Decius,Bernardo Daddi,Gothic,3,1
Madonna of the Rose,Pascal-Adolphe-Jean Dagnan-Bouveret,Impressionism,7,10
The Pardon in Brittany,Pascal-Adolphe-Jean Dagnan-Bouveret,Impressionism,8,1
Charity,Cesare Dandini,Baroque,9,10
Uvedale Tomkyns Price (1685-1764) and Members of His Family,Bartholomew Dandridge,Baroque,9,1
The Banks of the Oise,Charles-Francois Daubigny,Realism,5,1
Landscape on a River,Charles-Francois Daubigny,Realism,2,4
A River Landscape with Storks,Charles-Francois Daubigny,Realism,3,1
Boats on the Seacoast at Etaples,Charles-Francois Daubigny,Impressionism,4,3
Apple Blossoms,Charles-Francois Daubigny,Impressionism,7,9
The Seine: Morning,Charles-Francois Daubigny,Impressionism,5,7
Portejoie on the Seine,Charles-Francois Daubigny,Realism,3,3
The Hamlet of Optevoz,Charles-Francois Daubigny,Realism,7,2
Landscape with a Sunlit Stream,Charles-Francois Daubigny,Impressionism,5,1
The Laundress,Honore Daumier,Realism,4,8
Don Quixote and the Dead Mule,Honore Daumier,Realism,3,1
The Drinkers,Honore Daumier,Realism,3,10
The Third-Class Carriage,Honore Daumier,Realism,7,10
Christ Taking Leave of His Mother,Gerard David,Renaissance,1,4
The Nativity with Donors and Saints Jerome and Leonard,Gerard David,Renaissance,7,4
The Rest on the Flight into Egypt,Gerard David,Renaissance,4,6
Virgin and Child with Four Angels,Gerard David,Renaissance,5,7
The Death of Socrates,Jacques Louis David,Neoclassicism,10,9
"Antoine Laurent Lavoisier (1743-1794) and Marie Anne Lavoisier (Marie Anne Pierrette Paulze, 1758-1836)",Jacques Louis David,Neoclassicism,10,3
General Etienne-Maurice Gerard (1773-1852),Jacques Louis David,Romanticism,10,3
"Benjamin Franklin (1706-1790), after a Painting by Greuze of 1777",Charles Paul Jerome de Brea,Neoclassicism,1,1
"Marie-Therese-Charlotte (1778-1851), Daughter of Louis XVI",Jacques Joseph de Gault ,Neoclassicism,1,4
The Experts,Alexandre-Gabriel Decamps,Romanticism,5,10
The Good Samaritan,Alexandre-Gabriel Decamps,Realism,8,7
The Old Italian Woman,Edgar Degas,Realism,6,1
A Woman Seated beside a Vase of Flowers (Madame Paul Valpincon?),Edgar Degas,Realism,8,1
The Collector of Prints,Edgar Degas,Realism,4,1
"The Ballet from ""Robert le Diable""",Edgar Degas,Impressionism,6,1
"The Artist's Cousin, Probably Mrs. William Bell (Mathilde Musson, 1841-1878)",Edgar Degas,Impressionism,4,1
Woman on a Sofa,Edgar Degas,Impressionism,4,8
At the Milliner's,Edgar Degas,Impressionism,7,8
Woman Bathing in a Shallow Tub,Edgar Degas,Impressionism,6,2
Woman with a Towel,Edgar Degas,Impressionism,8,8
Bather Stepping into a Tub,Edgar Degas,Impressionism,5,1
The Dance Lesson,Edgar Degas,Impressionism,6,10
Dancer Onstage,Edgar Degas,Impressionism,2,1
Dancer with a Fan,Edgar Degas,Impressionism,5,8
Dancers in the Rehearsal Room with a Double Bass,Edgar Degas,Impressionism,6,1
Dancers Practicing at the Barre,Edgar Degas,Impressionism,7,3
"Dancers, Pink and Green",Edgar Degas,Impressionism,7,3
The Dancing Class,Edgar Degas,Realism,2,9
Fan Mount: Dancers,Edgar Degas,Impressionism,3,2
Fan Mount: The Ballet,Edgar Degas,Impressionism,2,1
James-Jacques-Joseph Tissot (1836-1902),Edgar Degas,Realism,9,1
Joseph-Henri Altes (1826-1895),Edgar Degas,Realism,2,5
"Madame Theodore Gobillard (Yves Morisot, 1838-1893)",Edgar Degas,Realism,6,1
Marie Dihau (1843-1935),Edgar Degas,Realism,2,1
The Milliner,Edgar Degas,Impressionism,5,8
Portrait of a Woman in Gray,Edgar Degas,Realism,7,3
Portrait of a Young Woman,Edgar Degas,Impressionism,2,7
Portraits at the Stock Exchange,Edgar Degas,Impressionism,6,1
The Rehearsal of the Ballet Onstage,Edgar Degas,Impressionism,6,3
The Rehearsal Onstage,Edgar Degas,Impressionism,6,2
Dancer in Ukrainian Dress,Edgar Degas,Impressionism,5,1
The Singer in Green,Edgar Degas,Impressionism,5,8
Sulking,Edgar Degas,Realism,3,8
Three Dancers Preparing for Class,Edgar Degas,Impressionism,5,1
Three Jockeys,Edgar Degas,Impressionism,5,1
Two Dancers,Edgar Degas,Impressionism,5,7
Two Men,Edgar Degas,Realism,2,10
Woman Combing Her Hair,Edgar Degas,Impressionism,5,1
Woman Drying Her Arm,Edgar Degas,Impressionism,3,1
Woman Drying Her Foot,Edgar Degas,Impressionism,5,2
Woman Having Her Hair Combed,Edgar Degas,Impressionism,6,1
A Woman Ironing,Edgar Degas,Impressionism,4,5
Basket of Flowers,Eugene Delacroix,Realism,9,8
Christ Asleep during the Tempest,Eugene Delacroix,Realism,5,1
George Sand's Garden at Nohant,Eugene Delacroix,Realism,5,1
Hamlet and His Mother,Eugene Delacroix,Realism,2,7
"Madame Henri Francois Riesener (Felicite Longrois, 1786-1847)",Eugene Delacroix,Romanticism,6,1
The Natchez,Eugene Delacroix,Romanticism,9,10
Triumph of the Amazons,Claude Deruet,Baroque,5,1
Departure of the Amazons,Claude Deruet,Baroque,5,1
Objects of Art from the Louvre,Blaise-Alexandre Desgoffe,Impressionism,8,5
A Dragoon on Horseback,Edouard Detaille,Impressionism,1,5
The Defense of Champigny,Edouard Detaille,Impressionism,10,6
Gendarmes d'Ordonnance,Edouard Detaille,Impressionism,4,1
Louis-Felix Amiel (1802-1864),Eugene Deveria,Romanticism,5,1
Diana,Narcisse-Virgile Diaz de la Pena,Realism,8,8
Autumn: The Woodland Pond,Narcisse-Virgile Diaz de la Pena,Realism,5,1
The Edge of the Woods,Narcisse-Virgile Diaz de la Pena,Impressionism,4,1
A Vista through Trees: Fontainebleau,Narcisse-Virgile Diaz de la Pena,Impressionism,3,1
The Forest of Fontainebleau,Narcisse-Virgile Diaz de la Pena,Impressionism,5,8
Christ Healing the Sick,Christian Wilhelm Ernst Dietrich,Baroque,8,6
Sir Henry Blount (1602-1682),Nicholas Dixon,Baroque,1,4
Landscape with Moses and the Burning Bush,Domenichino (Domenico Zampieri),Baroque,4,4
Portrait of an Old Man,Francisco Domingo y Marques,Impressionism,2,10
Don Quixote and Sancho Panza Entertained by Basil and Quiteria,Gustave Dore,Realism,8,3
An Evening School,Gerrit Dou,Baroque,2,9
Portrait of a Man (Self-Portrait?),Willem Drost,Baroque,7,7
"Portrait of a Woman, Said to be Madame Charles Simon Favart (Marie Justine Benoite Duronceray, 1727-1772)",Francois Hubert Drouais,Baroque,7,1
"Marie Rinteau, called Mademoiselle de Verrieres",Francois Hubert Drouais,Neoclassicism,8,3
Madame Sophie de France (1734-1782),Francois Hubert Drouais,Neoclassicism,6,1
Portrait of a Young Woman as a Vestal Virgin,Francois Hubert Drouais,Neoclassicism,7,1
Boy with a Black Spaniel,Francois Hubert Drouais,Neoclassicism,6,6
A Couple in an Interior with a Gypsy Fortune-Teller,Jacob Duck,Baroque,2,5
Self-Portrait with a Harp,Rose Adelaide Ducreux,Neoclassicism,10,3
Landing the Shore End of the Atlantic Cable,Robert Charles Dudley,Realism,6,1
Awaiting the Reply,Robert Charles Dudley,Realism,7,8
Grappling for the Lost Cable,Robert Charles Dudley,Realism,6,4
"Homeward Bound: ""The Great Eastern""",Robert Charles Dudley,Realism,10,4
