Title,Artist,Period,Complexity,Relevance
Bridge over a Pond of Water Lilies,Claude Monet,Impressionism,8,7
The Marriage of the Virgin,Davide Ghirlandaio (David Bigordi),Renaissance,2,9
Tobias and the Angel,Davide Ghirlandaio (David Bigordi),Renaissance,2,8
Selvaggia Sassetti (born 1470),Davide Ghirlandaio (David Bigordi),Renaissance,5,3
The Burial of Saint Zenobius,Davide Ghirlandaio (David Bigordi),Renaissance,2,1
The Dance Lesson,Edgar Degas,Impressionism,6,10
Two Men,Edgar Degas,Impressionism,2,10
Male Nude,Edgar Degas,Impressionism,4,10
The Dancing Class,Edgar Degas,Impressionism,2,9
Dancer,Edgar Degas,Impressionism,4,9
The Dance Class,Edgar Degas,Impressionism,7,9
Woman on a Sofa,Edgar Degas,Impressionism,4,8
At the Milliner's,Edgar Degas,Impressionism,7,8
Woman with a Towel,Edgar Degas,Impressionism,8,8
Dancer with a Fan,Edgar Degas,Impressionism,5,8
Strawberries,Edouard Manet,Realism,2,10
The Brioche,Edouard Manet,Realism,7,9
Boating,Edouard Manet,Realism,9,9
Fishing,Edouard Manet,Realism,8,9
The Funeral,Edouard Manet,Realism,7,9
A Matador,Edouard Manet,Realism,10,8
Peonies,Edouard Manet,Realism,4,8
The Spanish Singer,Edouard Manet,Realism,9,7
Mademoiselle V. . . in the Costume of an Espada,Edouard Manet,Realism,10,1
Boy with a Sword,Edouard Manet,Realism,9,1
View of Toledo,El Greco (Domenikos Theotokopoulos),Renaissance,9,7
Christ Healing the Blind,El Greco (Domenikos Theotokopoulos),Renaissance,9,3
Cardinal Fernando Nino de Guevara (1541-1609),El Greco (Domenikos Theotokopoulos),Renaissance,10,2
The Vision of Saint John,El Greco (Domenikos Theotokopoulos),Renaissance,10,2
"On the Beach, Sunset",Eugene Boudin,Realism,4,10
Village by a River,Eugene Boudin,Realism,4,7
"On the Beach, Dieppe",Eugene Boudin,Realism,3,7
Princess Pauline Metternich (1836-1921) on the Beach,Eugene Boudin,Realism,2,2
Beaulieu: The Bay of Fourmis,Eugene Boudin,Realism,7,1
On the Beach at Trouville,Eugene Boudin,Realism,3,1
The Natchez,Eugene Delacroix,Realism,9,10
Basket of Flowers,Eugene Delacroix,Realism,9,8
Hamlet and His Mother,Eugene Delacroix,Realism,2,7
Ovid among the Scythians,Eugene Delacroix,Realism,4,5
"Landscape with Rocks, Augerville",Eugene Delacroix,Realism,3,5
Rebecca and the Wounded Ivanhoe,Eugene Delacroix,Realism,6,2
Christ Asleep during the Tempest,Eugene Delacroix,Realism,5,1
George Sand's Garden at Nohant,Eugene Delacroix,Realism,5,1
"Madame Henri Francois Riesener (Felicite Longrois, 1786-1847)",Eugene Delacroix,Realism,6,1
The Abduction of Rebecca,Eugene Delacroix,Realism,8,1
Santa Maria della Salute,Francesco Guardi,Neoclassicism,6,8
Fantastic Landscape,Francesco Guardi,Neoclassicism,10,4
The Grand Canal above the Rialto,Francesco Guardi,Neoclassicism,4,4
"The Island of San Michele, Venice",Francesco Guardi,Neoclassicism,6,4
"The Villa Loredan, Paese",Francesco Guardi,Neoclassicism,6,4
Venice from the Bacino di San Marco,Francesco Guardi,Neoclassicism,10,1
The Ridotto Pubblico at Palazzo Dandolo,Francesco Guardi,Neoclassicism,4,1
The Antechamber of the Sala del Maggior Consiglio,Francesco Guardi,Neoclassicism,4,1
Saint John the Evangelist Raises Satheus to Life,Francescuccio Ghissi (Francesco di Cecco Ghissi),Gothic,3,3
Saint John the Evangelist with Acteus and Eugenius,Francescuccio Ghissi (Francesco di Cecco Ghissi),Gothic,3,3
Saint John the Evangelist Causes a Pagan Temple to Collapse,Francescuccio Ghissi (Francesco di Cecco Ghissi),Gothic,3,1
The Interrupted Sleep,Francois Boucher,Baroque,7,10
Washerwomen,Francois Boucher,Baroque,10,9
The Dispatch of the Messenger,Francois Boucher,Baroque,2,7
The Toilette of Venus,Francois Boucher,Baroque,8,7
Shepherd's Idyll,Francois Boucher,Baroque,10,5
Imaginary Landscape with the Palatine Hill from Campo Vaccino,Francois Boucher,Baroque,7,4
Allegory of Lyric Poetry,Francois Boucher,Baroque,10,4
Allegory of Autumn,Francois Boucher,Baroque,10,4
Virgin and Child with the Young Saint John the Baptist and Angels,Francois Boucher,Baroque,3,1
"Jupiter, in the Guise of Diana, and Callisto",Francois Boucher,Baroque,6,1
Boy with a Black Spaniel,Francois Hubert Drouais,Neoclassicism,6,6
"Marie Rinteau, called Mademoiselle de Verrieres",Francois Hubert Drouais,Neoclassicism,8,3
"Portrait of a Woman, Said to be Madame Charles Simon Favart (Marie Justine Benoite Duronceray, 1727-1772)",Francois Hubert Drouais,Neoclassicism,7,1
Madame Sophie de France (1734-1782),Francois Hubert Drouais,Neoclassicism,6,1
Portrait of a Young Woman as a Vestal Virgin,Francois Hubert Drouais,Neoclassicism,7,1
View of Notre Dame de Versailles from the plaine de Rocquencourt towards the South,Francois Marius Granet,Romanticism,2,6
"View in the Stables of the Villa of Maecenas, Tivoli",Francois Marius Granet,Romanticism,2,5
The Choir of the Capuchin Church in Rome,Francois Marius Granet,Romanticism,10,4
"Ponte San Rocco and Waterfalls, Tivoli",Francois Marius Granet,Romanticism,3,3
"Monks in the Cloister of the Church of Gesu e Maria, Rome",Francois Marius Granet,Romanticism,4,1
"Dusk, Monte Mario, Rome",Francois Marius Granet,Romanticism,2,1
The Smoker,Frans Hals,Baroque,4,10
Young Man and Woman in an Inn,Frans Hals,Baroque,8,1
Portrait of a Bearded Man with a Ruff,Frans Hals,Baroque,6,1
"Anna van der Aar (born 1576/77, died after 1626)",Frans Hals,Baroque,2,1
Paulus Verschuur (1606-1667),Frans Hals,Baroque,9,1
Petrus Scriverius (1576-1660),Frans Hals,Baroque,2,1
"Portrait of a Man, Possibly Nicolaes Pietersz Duyst van Voorhout (born about 1600, died 1650)",Frans Hals,Baroque,7,1
Merrymakers at Shrovetide,Frans Hals,Baroque,9,1
Boy with a Lute,Frans Hals,Baroque,6,1
Frans Hals (1582/83-1666),Frans Hals,Baroque,3,1
Prince Regent Luitpold of Bavaria (1821-1912),Franz von Lenbach,Expressionism,6,4
"Marion Lenbach (1892-1947), the Artist's Daughter",Franz von Lenbach,Expressionism,9,3
Landscape with a Shepherd,French Painter,Romanticism,3,7
Holy Family with Saint Anne,French Painter,Romanticism,6,5
"The Temple of Vesta, Tivoli",French Painter,Romanticism,3,3
"Copy after Valenciennes's ""Ruins at the Villa Farnese""",French Painter,Romanticism,3,1
"The Arch of Titus and the Forum, Rome",French Painter,Romanticism,5,1
Stormy Coast Scene after a Shipwreck,French Painter,Romanticism,6,1
The Gardener,Georges Seurat,Impressionism,2,10
View of the Seine,Georges Seurat,Impressionism,2,3
"Gray Weather, Grande Jatte",Georges Seurat,Impressionism,7,2
Circus Sideshow (Parade de cirque),Georges Seurat,Impressionism,9,1
Landscape at Saint-Ouen,Georges Seurat,Impressionism,2,1
The Forest at Pontaubert,Georges Seurat,Impressionism,7,1
"Study for ""A Sunday on La Grande Jatte""",Georges Seurat,Impressionism,8,1
A Man Leaning on a Parapet,Georges Seurat,Impressionism,1,1
Virgin and Child with Four Angels,Gerard David,Renaissance,5,7
The Rest on the Flight into Egypt,Gerard David,Renaissance,4,6
Christ Taking Leave of His Mother,Gerard David,Renaissance,1,4
The Nativity with Donors and Saints Jerome and Leonard,Gerard David,Renaissance,7,4
Saint John the Baptist; Saint Francis Receiving the Stigmata,Gerard David,Renaissance,2,1
Scenes from the Life of Christ,Giovanni Baronzio,Gothic,5,2
Neptune and the Winds,Giovanni Battista Tiepolo,Baroque,6,9
The Apotheosis of the Spanish Monarchy,Giovanni Battista Tiepolo,Baroque,7,7
The Capture of Carthage,Giovanni Battista Tiepolo,Baroque,10,6
Allegory of the Planets and Continents,Giovanni Battista Tiepolo,Baroque,10,5
A Female Allegorical Figure,Giovanni Battista Tiepolo,Baroque,7,5
The Glorification of the Barbaro Family,Giovanni Battista Tiepolo,Baroque,10,5
The Investiture of Bishop Harold as Duke of Franconia,Giovanni Battista Tiepolo,Baroque,6,5
Allegorical Figure Representing Fortitude,Giovanni Battista Tiepolo,Baroque,8,5
Saint Thecla Praying for the Plague-Stricken,Giovanni Battista Tiepolo,Baroque,6,4
The Chariot of Aurora,Giovanni Battista Tiepolo,Baroque,7,3
Paradise,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,4,10
Madonna and Child with Saints,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,9,1
Madonna and Child with Two Angels and a Donor,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,9,1
The Presentation of Christ in the Temple,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,4,1
"Saints Catherine of Alexandria, Barbara, Agatha, and Margaret",Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,2,1
Saints Matthew and Francis,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,9,1
"Ignacio Garcini y Queralt (1752-1825), Brigadier of Engineers",Goya (Francisco de Goya y Lucientes),Romanticism,8,7
Majas on a Balcony,Goya (Francisco de Goya y Lucientes),Romanticism,10,7
Josefa de Castilla Portugal y van Asbrock de Garcini (1775-about 1850),Goya (Francisco de Goya y Lucientes),Romanticism,8,5
"Jose Costa y Bonells (died l870), Called Pepito",Goya (Francisco de Goya y Lucientes),Romanticism,8,5
"Tiburcio Perez y Cuervo (1785/86-1841), the Architect",Goya (Francisco de Goya y Lucientes),Romanticism,8,5
Sebastian Martinez y Perez (1747-1800),Goya (Francisco de Goya y Lucientes),Romanticism,7,1
Manuel Osorio Manrique de Zuniga (1784-1792),Goya (Francisco de Goya y Lucientes),Romanticism,9,1
Serena Pulitzer Lederer (1867-1943),Gustav Klimt,Expressionism,9,3
Mada Primavesi (1903-2000),Gustav Klimt,Expressionism,9,1
The Deer,Gustave Courbet,Realism,8,10
After the Hunt,Gustave Courbet,Realism,10,9
The Hidden Brook,Gustave Courbet,Realism,6,9
The Sea,Gustave Courbet,Realism,5,9
Spring Flowers,Gustave Courbet,Realism,7,9
Monsieur Suisse,Gustave Courbet,Realism,5,8
The Source,Gustave Courbet,Realism,8,8
The Fishing Boat,Gustave Courbet,Realism,7,7
Louis Gueymard (1822-1880) as Robert le Diable,Gustave Courbet,Realism,9,4
Woman in a Riding Habit (L'Amazone),Gustave Courbet,Realism,9,2
William Roper (1493/94-1578),Hans Holbein the Younger,Renaissance,1,6
"Benedikt von Hertenstein (born about 1495, died 1522)",Hans Holbein the Younger,Renaissance,4,3
Hermann von Wedigh III (died 1560),Hans Holbein the Younger,Renaissance,3,1
Derick Berck of Cologne,Hans Holbein the Younger,Renaissance,4,1
Portrait of a Man in Royal Livery,Hans Holbein the Younger,Renaissance,1,1
"Margaret Roper (Margaret More, 1505-1544)",Hans Holbein the Younger,Renaissance,1,1
"Thomas Wriothesley (1505-1550), First Earl of Southampton",Hans Holbein the Younger,Renaissance,1,1
"Lady Lee (Margaret Wyatt, born about 1509)",Hans Holbein the Younger,Renaissance,3,1
Portrait of a Man (Sir Ralph Sadler?),Hans Holbein the Younger,Renaissance,2,1
"Lady Rich (Elizabeth Jenks, died 1558)",Hans Holbein the Younger,Renaissance,3,1
The Palace of Aurora,Henri Fantin-Latour,Impressionism,4,9
Still Life with Flowers and Fruit,Henri Fantin-Latour,Impressionism,6,8
Pansies,Henri Fantin-Latour,Impressionism,2,8
Roses and Lilies,Henri Fantin-Latour,Impressionism,5,7
Still Life with Pansies,Henri Fantin-Latour,Impressionism,5,7
Roses in a Bowl,Henri Fantin-Latour,Impressionism,3,7
Potted Pansies,Henri Fantin-Latour,Impressionism,3,4
Still Life with Roses and Fruit,Henri Fantin-Latour,Impressionism,3,1
Asters and Fruit on a Table,Henri Fantin-Latour,Impressionism,5,1
Summer Flowers,Henri Fantin-Latour,Impressionism,5,1
The Banks of the Bievre near Bicetre,Henri Rousseau (le Douanier),Expressionism,5,5
The Repast of the Lion,Henri Rousseau (le Douanier),Expressionism,10,2
The Sofa,Henri de Toulouse-Lautrec,Impressionism,7,10
Woman before a Mirror,Henri de Toulouse-Lautrec,Impressionism,5,9
The Streetwalker,Henri de Toulouse-Lautrec,Impressionism,6,8
Mademoiselle Nys,Henri de Toulouse-Lautrec,Impressionism,2,7
Emilie,Henri de Toulouse-Lautrec,Impressionism,3,7
"The Englishman (William Tom Warrener, 1861-1934) at the Moulin Rouge",Henri de Toulouse-Lautrec,Impressionism,7,6
"Madame Thadee Natanson (Misia Godebska, 1872-1950) at the Theater",Henri de Toulouse-Lautrec,Impressionism,6,1
Albert (Rene) Grenier (1858-1925),Henri de Toulouse-Lautrec,Impressionism,2,1
Woman in the Garden of Monsieur Forest,Henri de Toulouse-Lautrec,Impressionism,5,1
Henri-Gabriel Ibels (1867-1936),Henri de Toulouse-Lautrec,Impressionism,4,1
"Henry Hope (1735/36-1811), after Jones",Henry Bone,Romanticism,1,7
"Charles X (1757-1836), King of France, after Gerard",Henry Bone,Romanticism,3,6
"Algernon Percy (1602-1668), Tenth Earl of Northumberland, after Van Dyck",Henry Bone,Romanticism,1,2
"Thomas Howard (1585-1646), Second Earl of Arundel, after Rubens",Henry Bone,Romanticism,1,1
"Matthew Baillie (1761-1823), F.R.S., after Hoppner",Henry Bone,Romanticism,1,1
"George IV (1762-1830) as Prince Regent, after Lawrence",Henry Bone,Romanticism,1,1
The Third-Class Carriage,Honore Daumier,Realism,7,10
The Drinkers,Honore Daumier,Realism,3,10
The Laundress,Honore Daumier,Realism,4,8
Don Quixote and the Dead Mule,Honore Daumier,Realism,3,1
Megalopolis,Horace Vernet,Romanticism,3,9
Arab Warrior,Horace Vernet,Romanticism,2,8
Bertel Thorvaldsen (1768-1844) with the Bust of Horace Vernet,Horace Vernet,Romanticism,8,5
The Start of the Race of the Riderless Horses,Horace Vernet,Romanticism,5,1
"Portrait of a ""Mamelouk""",Horace Vernet,Romanticism,6,1
Jean-Louis-Andre-Theodore Gericault (1791-1824),Horace Vernet,Romanticism,4,1
The Dance,Hubert Robert,Neoclassicism,9,10
The Bathing Pool,Hubert Robert,Neoclassicism,10,9
The Mouth of a Cave,Hubert Robert,Neoclassicism,9,8
The Fountain,Hubert Robert,Neoclassicism,9,8
The Swing,Hubert Robert,Neoclassicism,9,8
The Portico of a Country Mansion,Hubert Robert,Neoclassicism,10,3
The Return of the Cattle,Hubert Robert,Neoclassicism,10,1
Wandering Minstrels,Hubert Robert,Neoclassicism,10,1
Castle by a River,Jan van Goyen,Baroque,7,10
A Beach with Fishing Boats,Jan van Goyen,Baroque,3,7
Country House near the Water,Jan van Goyen,Baroque,3,7
A View of The Hague from the Northwest,Jan van Goyen,Baroque,7,6
Sandy Road with a Farmhouse,Jan van Goyen,Baroque,3,6
The Pelkus Gate near Utrecht,Jan van Goyen,Baroque,4,5
View of Haarlem and the Haarlemmer Meer,Jan van Goyen,Baroque,4,5
"Madame Jacques-Louis Leblanc (Francoise Poncelle, 1788-1839)",Jean Auguste Dominique Ingres,Romanticism,9,5
Edmond Cave (1794-1852),Jean Auguste Dominique Ingres,Romanticism,3,5
Jacques-Louis Leblanc (1774-1846),Jean Auguste Dominique Ingres,Romanticism,9,5
Joseph-Antoine Moltedo (born 1775),Jean Auguste Dominique Ingres,Romanticism,6,2
"Madame Edmond Cave (Marie-Elisabeth Blavot, born 1810)",Jean Auguste Dominique Ingres,Romanticism,3,1
Odalisque in Grisaille,Jean Auguste Dominique Ingres,Romanticism,8,1
The Virgin Adoring the Host,Jean Auguste Dominique Ingres,Romanticism,3,1
The Cascade,Jean Honore Fragonard,Neoclassicism,2,10
The Two Sisters,Jean Honore Fragonard,Neoclassicism,6,9
The Love Letter,Jean Honore Fragonard,Neoclassicism,7,8
Roman Interior,Jean Honore Fragonard,Neoclassicism,5,1
Marie Emilie Coignet de Courson (1716-1806) with a Dog,Jean Honore Fragonard,Neoclassicism,7,1
A Shaded Avenue,Jean Honore Fragonard,Neoclassicism,2,1
The Stolen Kiss,Jean Honore Fragonard,Neoclassicism,5,1
Allegory of Vigilance,Jean Honore Fragonard,Neoclassicism,6,1
Broken Eggs,Jean-Baptiste Greuze,Neoclassicism,8,10
Head of a Young Boy,Jean-Baptiste Greuze,Neoclassicism,4,10
Head of a Young Woman,Jean-Baptiste Greuze,Neoclassicism,3,7
Princess Varvara Nikolaevna Gagarina (1762-1802),Jean-Baptiste Greuze,Neoclassicism,7,4
Study of a Woman's Head,Jean-Baptiste Greuze,Neoclassicism,4,4
Jean Jacques Caffieri (1725-1792),Jean-Baptiste Greuze,Neoclassicism,5,4
"Charles Claude de Flahaut (1730-1809), Comte d'Angiviller",Jean-Baptiste Greuze,Neoclassicism,6,2
Aegina Visited by Jupiter,Jean-Baptiste Greuze,Neoclassicism,10,2
"Madame Jean-Baptiste Nicolet (Anne Antoinette Desmoulins, 1743-1817)",Jean-Baptiste Greuze,Neoclassicism,6,2
Garden Scene,Jean-Francois Millet,Realism,2,10
Retreat from the Storm,Jean-Francois Millet,Realism,4,8
Woman with a Rake,Jean-Francois Millet,Realism,3,6
Shepherdess Seated on a Rock,Jean-Francois Millet,Realism,3,4
Autumn Landscape with a Flock of Turkeys,Jean-Francois Millet,Realism,8,3
Calling the Cows Home,Jean-Francois Millet,Realism,7,3
Haystacks: Autumn,Jean-Francois Millet,Realism,8,3
"The Bath, Javea",Joaquin Sorolla y Bastida,Expressionism,9,1
"Castle of San Servando, Toledo",Joaquin Sorolla y Bastida,Expressionism,7,1
"Senora de Sorolla (Clotilde Garcia del Castillo, 1865-1929) in Black",Joaquin Sorolla y Bastida,Expressionism,10,1
"Mrs. Winthrop W. Aldrich (Harriet Alexander, 1888-1972)",Joaquin Sorolla y Bastida,Expressionism,8,1
An Eruption of Vesuvius,Johan Christian Dahl,Romanticism,9,8
Mother and Child by the Sea,Johan Christian Dahl,Romanticism,1,8
Copenhagen Harbor by Moonlight,Johan Christian Dahl,Romanticism,9,6
Birch Tree in a Storm,Johan Christian Dahl,Romanticism,2,6
Mausoleum of San Vito near Pozzuoli,Johan Christian Dahl,Romanticism,2,6
View over Hallingdal,Johan Christian Dahl,Romanticism,3,5
Two Men before a Waterfall at Sunset,Johan Christian Dahl,Romanticism,3,4
Moonlit View of the River Elbe at Dresden,Johan Christian Dahl,Romanticism,2,1
The Sackville Children,John Hoppner,Neoclassicism,10,7
"Mrs. Thomas Pechell (Charlotte Clavering, died 1841)",John Hoppner,Neoclassicism,6,5
"Mrs. John Garden (Ann Garden, 1769-1842) and Her Children, John (1796-1854) and Ann Margaret (born 1793)",John Hoppner,Neoclassicism,9,5
Major Thomas Pechell (1753-1826),John Hoppner,Neoclassicism,6,1
Lady Hester King (died 1873),John Hoppner,Neoclassicism,6,1
"Mrs. Richard Bache (Sarah Franklin, 1743-1808)",John Hoppner,Neoclassicism,6,1
"Portrait of a Woman; (reverse, now covered by relining canvas) Study of a Child's Head",John Hoppner,Neoclassicism,6,1
William Man Godschall (1720-1802),John Russell,Romanticism,5,4
"Mrs. Robert Shurlock (Henrietta Ann Jane Russell, 1775-1849) and Her Daughter Ann",John Russell,Romanticism,5,1
Mrs. Robert Shurlock Sr. (Ann Manwaring),John Russell,Romanticism,5,1
Robert Shurlock (1772-1847),John Russell,Romanticism,5,1
"Mrs. William Man Godschall (Sarah Godschall, 1730-1795)",John Russell,Romanticism,5,1
Sir William Hood,John Smart,Neoclassicism,1,6
Mrs. Comyns,John Smart,Neoclassicism,1,6
Mrs. Charlotte Lennox,John Smart,Neoclassicism,1,5
"Sir George Armytage (1761-1836), Fourth Baronet",John Smart,Neoclassicism,1,4
Miss Ramus,John Smart,Neoclassicism,1,4
Mrs. Caroline Deas,John Smart,Neoclassicism,1,1
Among the Humble,Leon-Augustin Lhermitte,Expressionism,10,10
The Grape Harvest,Leon-Augustin Lhermitte,Expressionism,10,9
Saint Paul,Lippo Memmi (Filippo di Memmo),Gothic,6,10
Saint Clare,Lippo Memmi (Filippo di Memmo),Gothic,3,7
Madonna and Child with Saints and Angels,Lippo Memmi (Filippo di Memmo),Gothic,4,1
David,Lorenzo Monaco (Piero di Giovanni),Renaissance,5,10
Abraham,Lorenzo Monaco (Piero di Giovanni),Renaissance,5,8
Noah,Lorenzo Monaco (Piero di Giovanni),Renaissance,5,8
Moses,Lorenzo Monaco (Piero di Giovanni),Renaissance,5,7
The Judgment of Paris,Lucas Cranach the Elder,Renaissance,8,9
Samson and Delilah,Lucas Cranach the Elder,Renaissance,4,9
Judith with the Head of Holofernes,Lucas Cranach the Elder,Renaissance,7,9
Venus and Cupid,Lucas Cranach the Elder,Renaissance,1,8
"Johann (1498-1537), Duke of Saxony",Lucas Cranach the Elder,Renaissance,5,4
Lukas Spielhausen,Lucas Cranach the Elder,Renaissance,4,2
The Martyrdom of Saint Barbara,Lucas Cranach the Elder,Renaissance,10,2
Portrait of a Man with a Rosary,Lucas Cranach the Elder,Renaissance,4,2
Martin Luther (1483-1546),Lucas Cranach the Elder,Renaissance,2,1
The Abduction of the Sabine Women,Nicolas Poussin,Baroque,10,6
The Holy Family with Saint John the Baptist,Nicolas Poussin,Baroque,6,4
The Companions of Rinaldo,Nicolas Poussin,Baroque,9,1
Blind Orion Searching for the Rising Sun,Nicolas Poussin,Baroque,10,1
Midas Washing at the Source of the Pactolus,Nicolas Poussin,Baroque,8,1
Saints Peter and John Healing the Lame Man,Nicolas Poussin,Baroque,10,1
Bouquet of Flowers,Odilon Redon,Expressionism,7,9
Pandora,Odilon Redon,Expressionism,8,9
"Madame Arthur Fontaine (Marie Escudier, born 1865)",Odilon Redon,Expressionism,6,1
Bouquet in a Chinese Vase,Odilon Redon,Expressionism,5,1
The Chariot of Apollo,Odilon Redon,Expressionism,7,1
Etruscan Vase with Flowers,Odilon Redon,Expressionism,6,1
Vase of Flowers (Pink Background),Odilon Redon,Expressionism,6,1
Saint Catherine of Alexandria in Prison,Paolo Veronese (Paolo Caliari),Renaissance,8,6
Boy with a Greyhound,Paolo Veronese (Paolo Caliari),Renaissance,9,5
Alessandro Vittoria (1525-1608),Paolo Veronese (Paolo Caliari),Renaissance,8,1
Mars and Venus United by Love,Paolo Veronese (Paolo Caliari),Renaissance,10,1
Apples,Paul Cezanne,Impressionism,2,10
The Card Players,Paul Cezanne,Impressionism,7,9
Gardanne,Paul Cezanne,Impressionism,7,9
Dish of Apples,Paul Cezanne,Impressionism,5,9
The House with the Cracked Walls,Paul Cezanne,Impressionism,7,7
